Building Id,Compliance Status,Property Name,Street,Zipcode,Year Built,Address Source,Address Type,Master Property Type,Primary Property Type Epa Calculated,Assessor Sector,Government Type,Master Sq Ft,Reporting Year,Energy Star Score,Site Energy Use (Kbtu),Site Eui (Kbtu/Sq Ft),Weather Normalized Site Energy Use,Weather Normalized Site Eui (Kbtu/Sq Ft),Electricity Use Grid Purchase And Onsite (Kwh),Electricity Use - Grid Purchase (Kwh),Electricity Use Onsite Renewable (Kwh),Green Power - Onsite And Offsite (Kwh),Natural Gas Use (Kbtu),District Steam Use (Kbtu),District Chilled Water Use (Kbtu),Total Ghg Emissions (Metric Tons Co2E),Energy Star Certification - Years Certified,Recent Energy Star Certification
1016,In Compliance,7001 Tower Road,7001 Tower Rd.,80249,2001,Portfolio Manager,Building,Office,Office,Commercial,,70000,2022,82,3808372,54.7,3886402.3,55.9,514679.9,514679.9,0,#N/A,2052284,0,0,400.9,0,0
1017,In Compliance,Staybridge Suites Dia,6951 Tower Road,80249,2008,Portfolio Manager,Building,Hotel,Hotel,Commercial,,108548,2022,90,7064299.6,68.2,6986413.4,67.4,1085668,1085668,0,#N/A,3360000,0,0,794.3,0,0
1018,In Compliance,Embassy Suites Dia,7001 Yampa,80249,2002,Portfolio Manager,Building,Hotel,Hotel,Commercial,,143498,2022,95,6793932.3,47.3,6808447.7,47.4,1823866,1823866.2,0,#N/A,570900,0,0,1064.9,0,0
1019,In Compliance,Denver Airport Co Shs,18350 East 68Th Avenue,80249,2007,Portfolio Manager,Building,Hotel,Hotel,Commercial,,72203,2022,93,4303256,59.6,4303256,59.6,588000,587999.9,0,#N/A,2297000,0,0,455.5,0,0
1020,In Compliance,Denver Airport Co Hamp,6290 Tower Rd,80249,1996,Portfolio Manager,Building,Hotel,Hotel,Commercial,,71000,2022,91,4483311.3,63.1,4464863.1,62.9,664115.2,664115.1,0,#N/A,2217350.2,0,0,494.5,0,0
1021,In Compliance,Dia Hospitality,18600 E 63Rd Ave.,80249,1997,Portfolio Manager,Building,Hotel,Hotel,Commercial,,38804,2022,38,3241622.9,83.5,3241622.9,83.5,480510.5,480510.5,0,#N/A,1602121,0,0,336.1,0,0
1022,Not Submitted,Ramada Inn,6210 N Tower Rd,80249-6703,1997,Assessor Data,Building,Hotel,,Commercial,,42481,,,,,,,,,,#N/A,,,,,,
1036,In Compliance,Green Valley Ranch,4809 Argonne St,80249,2007,Portfolio Manager,Building,Medical Office,Medical Office,Commercial,,45761,2022,99,2867214.1,62.7,2913348.7,63.7,445416.5,445416.4,0,#N/A,1347453,0,0,324.2,0,0
1037,In Compliance,Green Valley Ranch Library,4856 N Andes St,80249,2011,Portfolio Manager,Building,Library,Library,Municipal,City ? General Services,26000,2022,0,2214149,85.2,2288730.9,88,300075.9,300075.9,0,#N/A,1190290.1,0,0,233.4,0,0
1041,In Compliance,62000083-Green Valley Rnch Town Cntr,18605 Green Valley Ranch Blvd.,80249,2003,Portfolio Manager,Building,Supermarket/Grocery Store,Supermarket/Grocery Store,Commercial,,58864,2022,76,10371740.7,176.2,10536169.9,179,2055039,2055038.3,0,#N/A,3359949.3,0,0,1344.1,"2017, 2012",2017
1047,In Compliance,Montbello Rec Ctr,15555 E 53Rd Ave,80239,1980,Portfolio Manager,Building,Fitness Center/Health Club/Gym,Other - Recreation,Municipal,City ? General Services,44394,2022,0,5266226.2,118.6,5379291.7,121.2,740545.9,740545.8,0,#N/A,2739483.7,0,0,565.6,0,0
1050,In Compliance,Parkfield - Co (Pf99),16199 Green Valley Ranch Blvd,80239,1999,Portfolio Manager,Building,Multifamily Housing,Multifamily Housing,Multi-Family,,412856,2022,43,31504929.9,76.3,31676110.2,76.7,3357085,3357084.8,0,#N/A,20050555.1,0,0,2969.2,0,0
1055,In Compliance,Building 1,5255 Memphis St,80239,2002,Portfolio Manager,Building,Multifamily Housing,Multifamily Housing,Multi-Family Condominium,,25180,2022,91,1077103.3,42.8,1084418.7,43.1,141552.3,141552.2,0,#N/A,594127,0,0,105.5,0,0
1056,In Compliance,Building 2,5255 Memphis St,80239,2002,Portfolio Manager,Building,Multifamily Housing,Multifamily Housing,Multi-Family Condominium,,25672,2022,87,1209231.2,47.1,1221640.7,47.6,153034.6,153034.6,0,#N/A,687077,0,0,123.3,0,0
1057,In Compliance,Building 3,5255 Memphis St,80239,2002,Portfolio Manager,Building,Multifamily Housing,Multifamily Housing,Multi-Family Condominium,,25672,2022,91,1103178.7,43,1113385.5,43.4,150918.7,150918.7,0,#N/A,588244,0,0,110.1,0,0
1058,In Compliance,Building 7,5255 Memphis St,80239,2002,Portfolio Manager,Building,Multifamily Housing,Multifamily Housing,Multi-Family Condominium,,25180,2022,95,1014817.5,40.3,1022627,40.6,121623.8,121623.8,0,#N/A,599837,0,0,95.4,0,0
1059,In Compliance,Building 8,5255 Memphis St,80239,2002,Portfolio Manager,Building,Multifamily Housing,Multifamily Housing,Multi-Family Condominium,,25180,2022,79,1246398.4,49.5,1251736.9,49.7,162974.9,162974.9,0,#N/A,690328,0,0,121.8,0,0
1060,In Compliance,Building 9,5255 Memphis St,80239,2002,Portfolio Manager,Building,Multifamily Housing,Multifamily Housing,Multi-Family Condominium,,25180,2022,78,1229633.7,48.8,1243022.5,49.4,172449.2,172449.2,0,#N/A,641237,0,0,131.9,0,0
1061,In Compliance,Building 10,5255 Memphis St,80239,2002,Portfolio Manager,Building,Multifamily Housing,Multifamily Housing,Multi-Family Condominium,,25180,2022,91,1127789,44.8,1135655.2,45.1,132146.2,132146.2,0,#N/A,676906,0,0,105,0,0
1062,In Compliance,Building 11,5255 Memphis St,80239,2002,Portfolio Manager,Building,Multifamily Housing,Multifamily Housing,Multi-Family Condominium,,25672,2022,77,1282737,50,1295239,50.5,180919.4,180919.4,0,#N/A,665440,0,0,129.8,0,0
1063,In Compliance,Building 12,5255 Memphis St,80239,2002,Portfolio Manager,Building,Multifamily Housing,Multifamily Housing,Multi-Family Condominium,,25672,2022,87,1223602,47.7,1234395.4,48.1,153817.4,153817.4,0,#N/A,698777,0,0,117.5,0,0
1067,In Compliance,Walmart Neighborhood Market #3127,5141 Chambers Road,80239,2012,Portfolio Manager,Building,Supermarket/Grocery Store,Supermarket/Grocery Store,Commercial,,57561,2022,87,9315469.8,161.8,9439056.3,164,1684881,1684880.7,0,#N/A,3566656,0,0,1145.1,0,0
1069,In Compliance,Sable Ridge Residences - Avanath,15255 E 40Th Ave,80239-5913,2003,Portfolio Manager,Building,Multifamily Housing,Multifamily Housing,Multi-Family,,46107,2022,55,3090155.2,67,3116995.1,67.6,366452.6,366452.5,0,#N/A,1839819.1,0,0,305.6,0,0
1071,In Compliance,4555 Airport Way,4555 Airport Way,80239,2008,Portfolio Manager,Building,Office,Office,Commercial,,92226,2022,78,4814549.1,52.2,4975154.3,53.9,993943,993942.8,0,#N/A,1423215.7,0,0,639.4,0,0
1115,Not Submitted,Towne Square Lofts Homeowners Association,15475 E. Andrews Drive,80239,2001,Portfolio Manager,Building,Multifamily Housing,Multifamily Housing,Multi-Family Condominium,,50000,,,,,,,,,,#N/A,,,,,,
1117,In Compliance,Denver Airport Co Cy,4343 Airport Way,80239,2007,Portfolio Manager,Building,Hotel,Hotel,Commercial,,72203,2022,60,5744844,79.6,5835399.3,80.8,1036733,1036732.9,0,#N/A,2207510.8,0,0,705.3,0,0
1118,In Compliance,Gateway Vii,4347 Airport Way,80723,2012,Portfolio Manager,Building,Other - Services,Other - Services,Commercial,,43585,2022,0,2323531.1,53.3,2368525.5,54.3,210660,210660,0,#N/A,1604759.2,0,0,204.7,0,0
1119,In Compliance,Four Gateway Centre,4400 Kittredge Street,80239,2001,Portfolio Manager,Building,Office,Office,Commercial,,61958,2022,83,4317155.5,69.7,4376387.6,70.6,608288.2,608288.2,0,#N/A,2241676,0,0,464.1,0,0
1120,In Compliance,Towneplace Suites - Dia/Gateway,4100 North Kittredge St,80239,2012,Portfolio Manager,Building,Hotel,Hotel,Commercial,,59037,2022,97,3706050.3,62.8,3706050.3,62.8,582957.3,582957.2,0,#N/A,1717000,0,0,395.7,0,0
1122,In Compliance,Raymond James & Associates,16222 E. 45Th Pl.,80239,2013,Portfolio Manager,Building,Data Center,Data Center,Commercial,,39014,2022,99,19508050.5,500,19508050.5,500,5717483,5717481.9,0,#N/A,0,0,0,3243.1,0,0
1123,In Compliance,Hampton Inn Denver/Airport Gateway Park,4310 Airport Way,80239,2012,Portfolio Manager,Building,Hotel,Hotel,Commercial,,74296,2022,74,6146794.7,82.7,6266181.2,84.3,1083229,1083228.8,0,#N/A,2450817.6,0,0,744.6,0,0
1125,In Compliance,Homewood Suites Dia,4210 Airport Way,80239,2008,Portfolio Manager,Building,Hotel,Hotel,Commercial,,93875,2022,98,5903272,62.9,5927941.3,63.1,868255.9,868255.8,0,#N/A,2940783,0,0,648.7,0,0
1127,In Compliance,Nals Redstone-93 Lp,4775 Argonne St,80249,1999,Portfolio Manager,Building,Multifamily Housing,Multifamily Housing,Multi-Family,,457796,2022,68,27867283.8,60.9,28040463.8,61.3,2905270,2905269.9,0,#N/A,17954501.7,0,0,2601.6,0,0
1152,Not Submitted,11333 E 55Th Ave,11333 E. 55Th Ave,80239,1984,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,114046,,,,,,,,,,#N/A,,,,,,
1153,In Compliance,Ge Building,11777 East 55Th Ave,80239,1985,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,172400,2022,0,2080380.7,12.1,2190446.4,12.7,126942.4,126942.4,0,#N/A,1647253.1,0,0,153.8,2018,2018
1154,In Compliance,Midway Ii 11440,11440 E. 56Th Ave,80239,1986,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,164145,2022,74,5635619.7,34.3,5837387.3,35.6,385829.6,385829.5,0,#N/A,4319169.1,0,0,448.3,0,0
1155,In Compliance,Denver Business Center (11605-11685 E 55Th),11605-11685 E 55Th Avenue,80239,2008,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,100000,2022,9,10094799.6,100.9,10440575.8,104.4,756961.2,756961.1,0,#N/A,7512048,0,0,794.4,0,0
1156,In Compliance,Sp Richards,11600 E56Th Ave,80239,1990,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,210000,2022,88,2781217.4,13.2,2894636.3,13.8,449206.1,449206.1,0,#N/A,1248526,0,0,321.1,0,0
1157,In Compliance,Dbc Midway I,11475 East 53Rd Ave,80239,1985,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,168560,2022,43,5636230.8,33.4,5775838.7,34.3,528738.8,528738.7,0,#N/A,3832174,0,0,503.5,0,0
1158,In Compliance,Denver Business Center 11685,11685 E. 53Rd Ave,80239,1985,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,167995,2022,85,3769786,22.4,4042856.1,24.1,223945.9,223945.8,0,#N/A,3005682.8,0,0,286.7,0,0
1159,In Compliance,Denver Business Center 11585,11585 E. 53Rd Ave,80239,1985,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,167972,2022,80,5070648.9,30.2,5229163.1,31.1,332585.3,332585.3,0,#N/A,3935867.8,0,0,397.7,0,0
1160,In Compliance,5401 Oswego,5301 Oswego St,80239,1985,Portfolio Manager,Building,Manufacturing/Industrial Plant,Mixed Use Property,Commercial,,54738,2022,0,3944997.5,72.1,4031516.1,73.7,255596.2,255596.2,0,#N/A,3072903.2,0,0,308.2,0,0
1161,In Compliance,11701 East 53Rd Avenue,11701 E 53Rd Ave,80239,1985,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,81981,2022,65,3113911.4,38,3189875.1,38.9,455693.8,455693.8,0,#N/A,1559084,0,0,341.3,0,0
1162,Exempt,"Cintas, Location 66",5495 Oswego Street,80239,1996,Portfolio Manager,Building,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Commercial,,70000,2022,0,32175499,649.7,32479030.4,655.8,1544109,1544108.6,0,#N/A,26906999.9,0,0,2305,0,0
1163,In Compliance,233968,11780 E 53Rd Ave,802392308,1989,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,115009,2022,33,6183101.2,53.8,6339243.1,55.1,732898.3,732898.2,0,#N/A,3682452.1,0,0,611.3,0,0
1165,Not Submitted,53Rd Ave Campus (11500/11600),11500-11600 E 53Rd Ave,80239,1995,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,193365,,,,,,,,,,#N/A,,,,,,
1166,Pending Revisions,5301 Peoria Street,5301 Peoria Street,80239,2000,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,307074,2022,94,1777880.6,5.8,1777880.6,5.8,521067,521066.9,0,#N/A,0,0,0,272.2,0,0
1167,In Compliance,Den00106 - Denver 1,11400 E. 53Rd Ave.,80239,1998,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,107000,2022,69,3902775.3,36.5,4027480.5,37.6,223794.1,223794.1,0,#N/A,3139189.9,0,0,293.7,0,0
1168,In Compliance,Den00107,11402 E. 53Rd Ave,80239,1999,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,91892,2022,78,3001639.7,32.7,3110256.9,33.8,188574.6,188574.6,0,#N/A,2358223.1,0,0,232.2,0,0
1169,In Compliance,Premier Eurocase 56Th Ave,12000 E 56Th Ave,80239,1993,Portfolio Manager,Building,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Commercial,,100000,2022,0,12239607.2,122.4,12300704.6,123,1980788,1980788.2,0,#N/A,5481157.2,0,0,1414.7,0,0
1171,In Compliance,5501 Peoria Street,5501 Peoria Street,80239,1998,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,228376,2022,89,3962333.4,17.4,4072524.4,17.8,512151,512151,0,#N/A,2214874.1,0,0,385.2,0,0
1176,In Compliance,Lyk Havana 10500 E 54Th,10500 E. 54Th Ave,80239,1985,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,104048,2022,93,2112395.2,20.3,2215790.3,21.3,129181.5,129181.5,0,#N/A,1671628,0,0,162.1,0,0
1178,Exempt,,10500 E 54Th Ave,80239,1985,Assessor Data,Building,Manufacturing/Industrial Plant,,Commercial,,74190,,,,,,,,,,#N/A,,,,,,
1179,In Compliance,Mountain View 5150,5150 Havana Street,80239,1997,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,66441,2022,67,3047811.3,45.9,3113586.4,46.9,201404.9,201404.8,0,#N/A,2360617.8,0,0,239.6,0,0
1180,In Compliance,Mountain View 5160,5160 Havana Street,80239,1997,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,86400,2022,75,4011852.8,46.4,4149424.8,48,174620.9,174620.9,0,#N/A,3416046.2,0,0,272.7,0,0
1181,In Compliance,Peterson Havana,5454 Havana Street,80239,1980,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,77009,2022,76,2287043.6,29.7,2350151.4,30.5,225631.2,225631.1,0,#N/A,1517190,0,0,208.6,0,0
1184,In Compliance,,5588 Havana St,80239,1983,Portfolio Manager,Building,Manufacturing/Industrial Plant,Mixed Use Property,Commercial,,60280,2022,0,11974602.6,198.6,12111818.6,200.9,1122715,1122714.8,0,#N/A,8143899.3,0,0,1069.4,0,0
1186,In Compliance,Inland Truck Parts And Service,5555 Joliet Street,80239,1996,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,105000,2022,0,3547565.1,36.6,3652237.8,37.7,410373.2,410373.1,0,#N/A,2147371.9,0,0,328.4,0,0
1187,In Compliance,5475 Joliet,5475 Joliet Street,80239,1981,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,82924,2022,78,3082215.9,37.2,3189286.3,38.5,133142.1,133142.1,0,#N/A,2627935.2,0,0,215.1,"2021, 2019",2021
1189,In Compliance,Jr Properties - Denver - 1189,10800 E. 54Th Ave.,80239,1986,Portfolio Manager,Building,Other,Manufacturing/Industrial Plant,Commercial,,38700,2022,0,1605556.8,41.5,1697943.5,43.9,74293.7,74293.7,0,#N/A,1352066.8,0,0,110.6,0,0
1190,In Compliance,5175 Joliet,5175 Joliet Street,80239,1975,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,119983,2022,78,4624925.1,38.5,4727908.7,39.4,333762,333762,0,#N/A,3486129.1,0,0,374.5,0,0
1191,Not Submitted,,5235 N Joliet St,80239,2014,Assessor Data,Building,Other,,Industrial,,27129,,,,,,,,,,#N/A,,,,,,
1192,In Compliance,Denver Bus Ctr #5 (11175 E 55Th),11175 E. 55Th Ave,80239,1996,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,236800,2022,55,8382422.6,35.4,8555069.6,36.1,1252088,1252088,0,#N/A,4110297.9,0,0,872.3,0,0
1193,In Compliance,Denver Warehouse,10980 East 56Th Avenue,80239,1987,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,40300,2022,69,477575.9,11.9,481383.3,11.9,64594.7,64594.6,0,#N/A,257178.9,0,0,50.3,0,0
1194,In Compliance,May Business Center,10975 E. 55Th Ave,80239,1999,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,41140,2022,65,1630565.1,39.6,1686365.6,41,142271.4,142271.4,0,#N/A,1145135,0,0,141.5,0,0
1195,In Compliance,Im000953 - 11333 E 53Rd Ave Denver,11333 E 53Rd Ave,80239,1970,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,205121,2022,80,5791164.7,28.2,6113716.8,29.8,316526.5,316526.4,0,#N/A,4711176.4,0,0,429.8,0,0
1197,In Compliance,"Midwest Airport Properties, Llc",5400 Joliet St,80239,1982,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,25060,2022,36,2384212.9,95.1,2516765.6,100.4,82722.8,82722.8,0,#N/A,2101962.7,0,0,158.6,0,0
1198,Pending Revisions,Den00103-Denver Buss Ctr 3,11100 East 55Th Avenue,80239,1983,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,288390,2022,98,593608,3.8,593608,3.8,173976.6,173976.5,0,#N/A,0,0,0,98.7,0,0
1202,In Compliance,Joliet,5280 Joliet Street,80239,1984,Portfolio Manager,Building,Manufacturing/Industrial Plant,Non-Refrigerated Warehouse,Commercial,,83072,2022,5,10456696,124.4,10521408.1,125.2,2558096,2558095.3,0,#N/A,1728473.9,0,0,1428,0,0
1203,In Compliance,Den00108 - Denver 3,11220 E. 53Rd Avenue,80239,2001,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial Condominium,,153162,2022,68,6100080.8,39.8,6266877.5,40.9,442264,442263.9,0,#N/A,4591076,0,0,494.7,0,0
1204,In Compliance,4821-4825 Lima,4821-4825 Lima Street,80239,1971,Portfolio Manager,Building,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Commercial,,38740,2022,0,6023574.6,155.5,6071894.6,156.7,1264469,1264469,0,#N/A,1709206,0,0,808,0,0
1205,In Compliance,Montbello 6 4905 Lima,4905 Lima Street,80239,1973,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,33685,2022,42,2032739.9,58.7,2100203.4,60.7,185993.5,185993.5,0,#N/A,1398130,0,0,179.8,0,0
1206,In Compliance,Montbello Bldg 15,4945 Lima Streeet,80239,1972,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,78938,2022,50,4773310.2,60.5,4951718.7,62.7,259888.1,259888.1,0,#N/A,3886571.9,0,0,353.8,0,0
1207,In Compliance,Cri,10705 E 51St Ave,80239,1973,Portfolio Manager,Building,Food Sales,Food Sales,Commercial,,51020,2022,0,2038477.6,40,2102050.4,41.2,300915.8,300915.7,0,#N/A,1011753,0,0,224.4,0,0
1208,In Compliance,4800 Joliet,4800 Joliet Street,80239,1969,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,80800,2022,78,3153508.5,39,3266715.3,40.4,57878.8,57878.8,0,#N/A,2956025.9,0,0,189.8,0,0
1209,Exempt,Joliet Property Llc,4890 Joliet St,80239,1974,Portfolio Manager,Building,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Commercial,,76564,,,,,,,,,,#N/A,,,,,,
1210,In Compliance,4860 Joliet,4860 Joliet Street,80239,1972,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,81750,2022,85,2521182.7,30.8,2611959,32,56561.8,56561.8,0,#N/A,2328193.8,0,0,155.7,0,0
1211,In Compliance,Orepac Building Products,5050 Ironton Street,80239,1973,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,136693,2022,67,4491852.1,32.8,4700688.6,34.4,546470.5,546470.5,0,#N/A,2627294.6,0,0,449.5,0,0
1212,Exempt,Amcor Denver,4990 Ironton Street,80239,1969,Portfolio Manager,Building,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Industrial,,147686,,,,,,,,,,#N/A,,,,,,
1213,Exempt,Nulite,10770 East 51St Avenue,80239,1970,Portfolio Manager,Building,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Commercial,,58194,,,,,,,,,,#N/A,,,,,,
1214,In Compliance,11000 51St Ave.,11000 East 51St Avenue,80239,1978,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,51558,2022,25,3570409.4,69.3,3656136.3,70.9,300072.7,300072.6,0,#N/A,2546561.4,0,0,305.5,0,0
1215,In Compliance,4680/4880 Ironton,4880 Ironton Street,80239,1973,Portfolio Manager,Building,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Commercial,,71600,2022,0,4051719.1,56.6,4174413.4,58.3,372543.2,372543.1,0,#N/A,2780601.8,0,0,359,0,0
1216,In Compliance,4890 Ironton / 4895 Joliet,4890 N Ironton,80239,1973,Portfolio Manager,Building,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Commercial,,57300,2022,0,3940828.2,68.8,4029676.4,70.3,374571.2,374571.2,0,#N/A,2662791.1,0,0,353.9,0,0
1218,In Compliance,Ironton Llc,4901 Ironton St.,80239,1969,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Commercial,,48000,2022,79,1505891.8,31.4,1557521.7,32.4,89459.8,89459.8,0,#N/A,1200655,0,0,114.5,0,0
1219,In Compliance,"A+Y Investments, Llc",5005 Ironton St,80239,1973,Portfolio Manager,Building,Distribution Center,Distribution Center,Commercial,,50000,2022,22,3339204.9,66.8,3449945,69,229512.4,229512.4,0,#N/A,2556108.4,0,0,266,0,0
1220,In Compliance,Denver 4,10660 E. 51St Avenue,80239,1972,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Industrial,,52915,2022,79,517515.2,9.8,517515.2,9.8,151675,151675,0,#N/A,0,0,0,86,0,0
1221,In Compliance,Maccourt Products,4881 Ironton Street,80239,1969,Portfolio Manager,Building,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Industrial,,64800,2022,0,13947320.7,215.2,13979060,215.7,3942613,3942613,0,#N/A,495123.5,0,0,2262.6,0,0
1222,Not Submitted,4880 Havana Building 2,4880 Havana St,80239,1995,Portfolio Manager,Building,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Industrial,,53440,,,,,,,,,,#N/A,,,,,,
1223,Exempt,Scott'S Liquid Gold - Building 3,4880 N Havana St,80239,1984,Assessor Data,Building,Manufacturing/Industrial Plant,,Industrial,,113620,,,,,,,,,,#N/A,,,,,,
