Name,Latitude,Longitude,Type,M,S,E,T,Building ID
Jrl 51St Street Llc,,,Energy Consumer,-7.137632498057641,1e-08,4805856000000.0,1e-08,1922.0
Laradon/Laradon Real Estate,,,Energy Consumer,-10.4169759380118,1e-08,5768136000000.0,1e-08,1925.0
Save-A-Lot Pecos,,,Energy Consumer,-3.9271823951889604,1e-08,4352832000000.0,1e-08,1928.0
1400 W 52Nd Ave B-East,,,Energy Consumer,-5.050003899860279,1e-08,3523608000000.0,1e-08,1929.0
Bp72081 - Denver Commerce Center,,,Energy Consumer,-20.04545206415232,1e-08,22558536000000.0,1e-08,1931.0
Bxrkal - Denver Commerce Center North,,,Energy Consumer,-6.11122513928112,1e-08,3461832000000.0,1e-08,1932.0
Winter Llc - D&L Art Glass Supply,,,Energy Consumer,-0.8184580101277199,1e-08,589248000000.0,1e-08,1933.0
M&S Investments,,,Energy Consumer,-0.563238794421,1e-08,525888000000.0,1e-08,1934.0
Aspen Leaf,,,Energy Consumer,-5.8910497008339595,1e-08,5016528000000.0,1e-08,1935.0
Centerpark B,,,Energy Consumer,-6.4118334799332,1e-08,4438368000000.0,1e-08,1936.0
Centerpark C,,,Energy Consumer,-12.75897052845216,1e-08,11309760000000.0,1e-08,1937.0
Centerpark D,,,Energy Consumer,-3.48402158871516,1e-08,2401344000000.0,1e-08,1938.0
Marycrest Assisted Living -Serenity (2850),,,Energy Consumer,-4.8426988736664,1e-08,3514896000000.0,1e-08,1939.0
Marycrest Assisted Living - Harmony (2800),,,Energy Consumer,-2.7627195340746002,1e-08,1949904000000.0,1e-08,1940.0
Aria Cohousing,,,Energy Consumer,-1.43617681607148,1e-08,1230768000000.0,1e-08,1941.0
Regis Square,,,Energy Consumer,-5.60733543797688,1e-08,3979800000000.0,1e-08,1942.0
Regis University,,,Energy Consumer,-87.84093785685732,1e-08,66684816000000.0,1e-08,1943.0
Motel 6,,,Energy Consumer,-5.923046477520721,1e-08,5209776000000.0,1e-08,1959.0
Mirador At Tennyson,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1962.0
Scheitler Rec Ctr - Pool,,,Energy Consumer,-3.93024701519028,1e-08,2290464000000.0,1e-08,1964.0
Holy Family Church Id#1965,,,Energy Consumer,-1.4260308738940801,1e-08,668448000000.0,1e-08,1965.0
The Lofts At Berkeley Park,,,Energy Consumer,-1.40399667072144,1e-08,1207800000000.0,1e-08,1966.0
Holy Family,,,Energy Consumer,-3.39045398282916,1e-08,2440944000000.0,1e-08,1967.0
Arrupe Jesuit High School,,,Energy Consumer,-4.769818692479641,1e-08,3507768000000.0,1e-08,1968.0
Main Building,,,Energy Consumer,-6.608967770143081,1e-08,3388968000000.0,1e-08,1969.0
The Argyle Ladies Relief Society Of Denver,,,Energy Consumer,-6.9064984081044,1e-08,4325904000000.0,1e-08,1972.0
The Argyle Park Square,,,Energy Consumer,-2.4642507406737604,1e-08,1560240000000.0,1e-08,1973.0
"00244- Denver, Co",,,Energy Consumer,-11.306959648946998,1e-08,10157400000000.0,1e-08,1975.0
4765 Federal Blvd,,,Energy Consumer,-3.46454241368904,1e-08,2971584000000.0,1e-08,1977.0
Lake Park Hoa,,,Energy Consumer,-4.5064527594519594,1e-08,2905848000000.0,1e-08,1978.0
Casa Loma,,,Energy Consumer,-4.6380708400464,1e-08,3362832000000.0,1e-08,1983.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1985.0
West 47Th Warehouse,,,Energy Consumer,-1.06225909761456,1e-08,566280000000.0,1e-08,1986.0
W47,,,Energy Consumer,-3.16452237203952,1e-08,3539448000000.0,1e-08,1987.0
Police District #1,,,Energy Consumer,-6.26410048010436,1e-08,5211360000000.0,1e-08,1988.0
1375 West 47Th Ave,,,Energy Consumer,-1.7534765583378,1e-08,967032000000.0,1e-08,1989.0
Mile High Comics,,,Energy Consumer,-4.46583100874076,1e-08,2525688000000.0,1e-08,1991.0
Jeremy Wiles,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1992.0
"The West 45Th Warehouse, Llc",,,Energy Consumer,-5.8861878991236,1e-08,4553208000000.0,1e-08,1995.0
1002 Dawn Foods Denver Mfg,,,Energy Consumer,-16.116279834101757,1e-08,19480824000000.0,1e-08,1996.0
Dawn Denver Warehouse,,,Energy Consumer,-16.80609502042704,1e-08,18250848000000.0,1e-08,1997.0
Parks Maintenance - North Jason,,,Energy Consumer,-1.4574527507844,1e-08,1022472000000.0,1e-08,1998.0
Denver Beer Company Canworks,,,Energy Consumer,-5.24206780386768,1e-08,2361744000000.0,1e-08,1999.0
Chaffee Park Senior Residences,,,Energy Consumer,-3.08172308562936,1e-08,2725272000000.0,1e-08,2002.0
4045 Pecos St,,,Energy Consumer,-2.3159093957859604,1e-08,1964952000000.0,1e-08,2004.0
Denver Benchmarking Id 2007,,,Energy Consumer,-7.87287468582432,1e-08,7013160000000.0,1e-08,2007.0
Clarion Hotel Denver,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2008.0
Vicorp Bldg,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2011.0
Dalfen700,,,Energy Consumer,-1.7960110193462397,1e-08,1107216000000.0,1e-08,2012.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2016.0
4770 Fox Street,,,Energy Consumer,-2.2256545589784,1e-08,1103256000000.0,1e-08,2017.0
4785 Elati,,,Energy Consumer,-2.1985134646795195,1e-08,1291752000000.0,1e-08,2018.0
Ccd,,,Energy Consumer,-3.41967849542136,1e-08,2201760000000.0,1e-08,2021.0
Auraria Student Housing At The Regency,,,Energy Consumer,-14.384915447545438,1e-08,14494392000000.0,1e-08,2022.0
31St Street Investments Llc,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2027.0
Alfred Manufacturing,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2029.0
Fox Facility,,,Energy Consumer,-2.81968873827444,1e-08,2145528000000.0,1e-08,2030.0
Broadway & Globeville,,,Energy Consumer,-2.71929682175652,1e-08,2132856000000.0,1e-08,2032.0
4250 Broadway,,,Energy Consumer,-4.401415433127241,1e-08,2098008000000.0,1e-08,2034.0
Taxi 1,,,Energy Consumer,-2.1039746801137196,1e-08,1561032000000.0,1e-08,2035.0
Freight On The River,,,Energy Consumer,-1.67168305643112,1e-08,1095336000000.0,1e-08,2037.0
Bnsf Railway,,,Energy Consumer,-5.15350126703124,1e-08,5384808000000.0,1e-08,2038.0
Drive 1,,,Energy Consumer,-2.68134604980228,1e-08,2891592000000.0,1e-08,2040.0
Drive 2,,,Energy Consumer,-2.82108826952784,1e-08,2777544000000.0,1e-08,2041.0
"Iron Mountain, Den-1",,,Energy Consumer,-186.7689732757277,1e-08,214319952000000.0,1e-08,2042.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2047.0
Lg Investments,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2051.0
Coliseum And Horse Barn,,,Energy Consumer,-25.85190571888932,1e-08,15600816000000.0,1e-08,2053.0
Leb Alliance Llc,,,Energy Consumer,-1.6146433745172,1e-08,981288000000.0,1e-08,2054.0
Dencol Supply,,,Energy Consumer,-1.3880770422786,1e-08,833976000000.0,1e-08,2056.0
"2057 - Nw Complex (Expo Hall, Stadium Arena And Barns)",,,Energy Consumer,-20.8246151614914,1e-08,11416680000000.0,1e-08,2057.0
4375 Brighton Blvd,,,Energy Consumer,-2.6012952887356797,1e-08,1531728000000.0,1e-08,2058.0
Slaughterhouse,,,Energy Consumer,-1.9938616923085197,1e-08,1302840000000.0,1e-08,2059.0
Museum Building 1,,,Energy Consumer,-2.870228644659,1e-08,1462032000000.0,1e-08,2060.0
Building A,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2063.0
Building B,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2064.0
Chermet Llc,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2067.0
Rino Station,,,Energy Consumer,-6.513636533316121,1e-08,6484104000000.0,1e-08,2068.0
Manufacturing Building,,,Energy Consumer,-58.811433301316534,1e-08,51445944000000.0,1e-08,2071.0
Race St,,,Energy Consumer,-2.03463125630928,1e-08,1120680000000.0,1e-08,2074.0
3939 Williams Building Corporation,,,Energy Consumer,-10.37810093735196,1e-08,12253824000000.0,1e-08,2075.0
Western Motor Inn,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2079.0
4650 Steele,,,Energy Consumer,-3.6117974733310803,1e-08,1899216000000.0,1e-08,2080.0
Iov 4790 Vasquez Llc,,,Energy Consumer,-1.15557401768436,1e-08,849024000000.0,1e-08,2081.0
Gourmet40,,,Energy Consumer,-3.6620268768525603,1e-08,3005640000000.0,1e-08,2082.0
Tri-R Recycling,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2084.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2088.0
3888 E. 45Th Ave.,,,Energy Consumer,-4.697853561014759,1e-08,4738536000000.0,1e-08,2089.0
Kbp Coil Coaters,,,Energy Consumer,-9.859463035837559,1e-08,8624880000000.0,1e-08,2090.0
Weakland Investments,,,Energy Consumer,-0.027351050363279998,1e-08,34056000000.0,1e-08,2091.0
4701 Colorado Blvd,,,Energy Consumer,-0.48429098847864005,1e-08,594000000000.0,1e-08,2092.0
Colorado,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2093.0
Rm Realty,,,Energy Consumer,-2.2489095669858,1e-08,1357488000000.0,1e-08,2094.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2095.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2097.0
Eastside Human Services,,,Energy Consumer,-3.757514578425001,1e-08,3769920000000.0,1e-08,2101.0
4120 York St,,,Energy Consumer,-4.62570632695332,1e-08,3881592000000.0,1e-08,2103.0
Co5000,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2104.0
Lawrence Morgan,,,Energy Consumer,-3.6630855196416,1e-08,3480840000000.0,1e-08,2105.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2106.0
3770,,,Energy Consumer,-6.61623509862144,1e-08,6130080000000.0,1e-08,2107.0
Green Yard Llc,,,Energy Consumer,-4.256934642185399,1e-08,2117016000000.0,1e-08,2108.0
Countertops38,,,Energy Consumer,-1.8141781272282,1e-08,1214928000000.0,1e-08,2109.0
"Green Drop Colorado, Llp",,,Energy Consumer,-1.7673779709234,1e-08,1986336000000.0,1e-08,2110.0
4200 Jackson,,,Energy Consumer,-1.90845462497184,1e-08,1013760000000.0,1e-08,2112.0
4141 Colorado,,,Energy Consumer,-0.0,1e-08,0.0,1e-08,2114.0
New Hope Baptist Church,,,Energy Consumer,-2.7797804161599595,1e-08,1529352000000.0,1e-08,2115.0
"Hope Center, Inc.",,,Energy Consumer,-1.7527347487454399,1e-08,1102464000000.0,1e-08,2125.0
3030 Richard Allen Ct. - Allen Gardens,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2130.0
"Phillips Center, Llc",,,Energy Consumer,-3.57462628195968,1e-08,1736856000000.0,1e-08,2132.0
Annunciation Catholic School,,,Energy Consumer,-0.30920630525315995,1e-08,148896000000.0,1e-08,2133.0
St. Martin Plaza,,,Energy Consumer,-3.00389849187876,1e-08,2263536000000.0,1e-08,2136.0
Raps Enterprises Inc,,,Energy Consumer,-2.3758731642952795,1e-08,2010096000000.0,1e-08,2137.0
Posner Center,,,Energy Consumer,-1.3780798629408,1e-08,1139688000000.0,1e-08,2138.0
"Fourth Quarter Partners, Lllp",,,Energy Consumer,-2.32122824758224,1e-08,2486880000000.0,1e-08,2139.0
Downing Street Station Condominiums,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2140.0
Five Point Media Center,,,Energy Consumer,-2.5089373040950798,1e-08,2769624000000.0,1e-08,2143.0
Elbra M. Wedgeworth Municipal Building,,,Energy Consumer,-1.51764884253684,1e-08,1178496000000.0,1e-08,2145.0
Eastside Clinic 5326660319,,,Energy Consumer,-5.17923955940436,1e-08,4423320000000.0,1e-08,2146.0
Salvation Army - Denver Red Shield,,,Energy Consumer,-1.93842031412304,1e-08,1107216000000.0,1e-08,2147.0
The Source,,,Energy Consumer,-5.4237204192142805,1e-08,3895848000000.0,1e-08,2149.0
Ardent Mills,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2151.0
3600 Wynkoop St.,,,Energy Consumer,-0.9271597555623599,1e-08,466488000000.0,1e-08,2152.0
3755 - Total Building Data,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2153.0
Blue Moon Brewing Company Id2156,,,Energy Consumer,-8.015139332478359,1e-08,4962672000000.0,1e-08,2156.0
Kaymart Holding Llc,,,Energy Consumer,-2.0200131444546,1e-08,1165824000000.0,1e-08,2158.0
Great Divide Brewery,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2160.0
Silver Square 3309,,,Energy Consumer,-0.85737109829472,1e-08,1069992000000.0,1e-08,2161.0
Silver Square 3377,,,Energy Consumer,-3.06362434535028,1e-08,1637856000000.0,1e-08,2162.0
Monde Arts Llc,,,Energy Consumer,-2.22953072774724,1e-08,1429560000000.0,1e-08,2163.0
Park Ave Inn,,,Energy Consumer,-0.0,1e-08,0.0,1e-08,2166.0
0901-Denver (Downtown),,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2167.0
Renaissance Riverfront Lofts,,,Energy Consumer,-4.7084901040461595,1e-08,3967128000000.0,1e-08,2168.0
"Park Ave Warehouse, Campus",,,Energy Consumer,-10.4886036626958,1e-08,6905448000000.0,1e-08,2169.0
Eeb-New-Policevehsvcctr-Bicyclebureau,,,Energy Consumer,-3.0353569791984,1e-08,1858032000000.0,1e-08,2171.0
City Gate Apartments (Ct120),,,Energy Consumer,-11.038106055227042,1e-08,9435888000000.0,1e-08,2173.0
Greenbox Ii,,,Energy Consumer,-0.9811629874594798,1e-08,306504000000.0,1e-08,2174.0
2323 Delgany,,,Energy Consumer,-1.62140427630756,1e-08,1372536000000.0,1e-08,2175.0
Lodo Self Storage - 2177,,,Energy Consumer,-1.8376495271391602,1e-08,1620432000000.0,1e-08,2177.0
Aftco,,,Energy Consumer,-0.00842208683256,1e-08,10296000000.0,1e-08,2178.0
Waterford Rino (Wt019),,,Energy Consumer,-15.867542985507,1e-08,13269960000000.0,1e-08,2181.0
Crossroads Shelter,,,Energy Consumer,-3.5638751598901197,1e-08,2578752000000.0,1e-08,2183.0
Platte Division Bus Garage,,,Energy Consumer,-267.9635939721797,1e-08,110159280000000.0,1e-08,2184.0
"Vf Denver Lab - Denver, Co (Vflab-744955)",,,Energy Consumer,-4.11187325414688,1e-08,3765168000000.0,1e-08,2187.0
Block 32 At Rino (Bl098),,,Energy Consumer,-9.7726096982844,1e-08,8163936000000.0,1e-08,2189.0
Greenbox I,,,Energy Consumer,-0.8581547935944,1e-08,559152000000.0,1e-08,2190.0
District Shops,,,Energy Consumer,-40.88176800325884,1e-08,36160344000000.0,1e-08,2191.0
Industry Denver,,,Energy Consumer,-11.12371083998316,1e-08,8680320000000.0,1e-08,2192.0
3201 Walnut St,,,Energy Consumer,-4.5596211258528,1e-08,3243240000000.0,1e-08,2193.0
Fire Clay 3225,,,Energy Consumer,-1.59080576480748,1e-08,1093752000000.0,1e-08,2194.0
Fire Clay 3295,,,Energy Consumer,-0.86976694653912,1e-08,635976000000.0,1e-08,2195.0
Fire Clay 3195,,,Energy Consumer,-1.0658843741617199,1e-08,830016000000.0,1e-08,2196.0
Fire Clay 3149,,,Energy Consumer,-1.3111083096307201,1e-08,986040000000.0,1e-08,2197.0
Fire Clay 3101,,,Energy Consumer,-1.8424083554229602,1e-08,1580832000000.0,1e-08,2198.0
The Bindery,,,Energy Consumer,-4.0955084977464,1e-08,2902680000000.0,1e-08,2203.0
2950 Blake Street,,,Energy Consumer,-0.0116230200174,1e-08,14256000000.0,1e-08,2204.0
2800 Walnut,,,Energy Consumer,-2.25997994887992,1e-08,1334520000000.0,1e-08,2205.0
Enterprise Coworking,,,Energy Consumer,-2.7475662980195996,1e-08,2219184000000.0,1e-08,2206.0
California Park East - 2770 California St.,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2209.0
Denver Deep Rock Plant,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2210.0
Cervantes Masterpiece Theatre,,,Energy Consumer,-1.75787529614532,1e-08,1570536000000.0,1e-08,2211.0
2501 Blake St,,,Energy Consumer,-2.12332819801788,1e-08,1603800000000.0,1e-08,2213.0
Canvas On Blake,,,Energy Consumer,-13.23196746324948,1e-08,10168488000000.0,1e-08,2214.0
Hartley Flats-Simpson,,,Energy Consumer,-8.050212862305841,1e-08,7552512000000.0,1e-08,2215.0
Lot 28,,,Energy Consumer,-2.8476218628122396,1e-08,2518560000000.0,1e-08,2216.0
2601 Blake St,,,Energy Consumer,-1.98427904431596,1e-08,1633896000000.0,1e-08,2217.0
Blake Street Apartments,,,Energy Consumer,-4.521045444466679,1e-08,4404312000000.0,1e-08,2218.0
Blake Street Lofts,,,Energy Consumer,-2.07801545909796,1e-08,1227600000000.0,1e-08,2220.0
Ballpark Lofts (Bp08),,,Energy Consumer,-13.32995849524404,1e-08,14187096000000.0,1e-08,2221.0
Silver State Lofts,,,Energy Consumer,-3.233104467723,1e-08,2427480000000.0,1e-08,2222.0
The Douglas (61065),,,Energy Consumer,-13.899201189062401,1e-08,11887128000000.0,1e-08,2223.0
Church Of Scientology Of Colorado,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2224.0
2301 Blake St,,,Energy Consumer,-6.20725651100424,1e-08,5177304000000.0,1e-08,2225.0
2399 Blake St,,,Energy Consumer,-7.79944482066996,1e-08,6298776000000.0,1e-08,2226.0
711 Building,,,Energy Consumer,-3.4420831286151605,1e-08,2822688000000.0,1e-08,2227.0
Jack Kerouac Lofts,,,Energy Consumer,-3.3873037978186797,1e-08,3057120000000.0,1e-08,2228.0
Diamond At Prospect (Dm03),,,Energy Consumer,-7.32728486148012,1e-08,5781600000000.0,1e-08,2229.0
Prospect Park,,,Energy Consumer,-1.8729871373833202,1e-08,1641024000000.0,1e-08,2230.0
Watertower Lofts,,,Energy Consumer,-9.1877580898974,1e-08,6272640000000.0,1e-08,2233.0
Ajax Lofts,,,Energy Consumer,-3.9186343347177606,1e-08,2985048000000.0,1e-08,2234.0
Griffis Union Station - Sk10,,,Energy Consumer,-21.700127518805882,1e-08,17229960000000.0,1e-08,2235.0
Flour Mill Lofts,,,Energy Consumer,-6.736594680908279,1e-08,5265216000000.0,1e-08,2237.0
Metro,,,Energy Consumer,-14.3647708489524,1e-08,9851688000000.0,1e-08,2240.0
Amli Riverfront Park,,,Energy Consumer,-10.26568381362192,1e-08,8894160000000.0,1e-08,2243.0
125010 - Premier Lofts,,,Energy Consumer,-11.27504506109148,1e-08,10534392000000.0,1e-08,2244.0
The Burlington,,,Energy Consumer,-3.19291750542456,1e-08,2215224000000.0,1e-08,2245.0
Parise,,,Energy Consumer,-2.05821058840812,1e-08,1431936000000.0,1e-08,2246.0
Stadium Lofts,,,Energy Consumer,-2.8163015877762003,1e-08,2042568000000.0,1e-08,2247.0
Zi Lofts,,,Energy Consumer,-3.45693514629636,1e-08,3069792000000.0,1e-08,2249.0
The Battery On Blake-Simpson,,,Energy Consumer,-7.7242400354797205,1e-08,6375600000000.0,1e-08,2250.0
Twentyone 01,,,Energy Consumer,-13.49293441085388,1e-08,10737936000000.0,1e-08,2251.0
Wazee Exchange,,,Energy Consumer,-3.2237784092523603,1e-08,2773584000000.0,1e-08,2252.0
Colorado Housing And Finance Authority,,,Energy Consumer,-3.37942495911456,1e-08,3009600000000.0,1e-08,2253.0
Co - Sunset Towers: Sunset Towers,,,Energy Consumer,-5.33968313056308,1e-08,3626568000000.0,1e-08,2254.0
One Wynkoop Plaza,,,Energy Consumer,-3.5187520144615205,1e-08,2627064000000.0,1e-08,2255.0
U-Haul Moving & Storage At Mile High Station (935061),,,Energy Consumer,-0.39583217281896,1e-08,494208000000.0,1e-08,2256.0
Leprino Foods Company Denver Corporate Office,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2257.0
Tejon Heights,,,Energy Consumer,-1.8214879744472399,1e-08,1827144000000.0,1e-08,2261.0
Highland Lofts,,,Energy Consumer,-1.60714572740136,1e-08,1392336000000.0,1e-08,2262.0
Shoshone Lofts At Highlands Condominiums,,,Energy Consumer,-2.67943492208844,1e-08,1909512000000.0,1e-08,2263.0
North Central: Guadalupe Senior Apts.,,,Energy Consumer,-1.36948675159548,1e-08,1050192000000.0,1e-08,2264.0
Skyline Lofts Hoa,,,Energy Consumer,-1.72455136501932,1e-08,1307592000000.0,1e-08,2265.0
Centric Lohi By Windsor,,,Energy Consumer,-23.11814967665148,1e-08,18996912000000.0,1e-08,2266.0
City View Lofts,,,Energy Consumer,-1.22003717630544,1e-08,985248000000.0,1e-08,2267.0
Bstreet,,,Energy Consumer,-2.7604473663344398,1e-08,2270664000000.0,1e-08,2268.0
The Residences At Highlands Crossing,,,Energy Consumer,-2.48969245691772,1e-08,1842984000000.0,1e-08,2269.0
Prospect On Central,,,Energy Consumer,-3.38645173491612,1e-08,2566872000000.0,1e-08,2272.0
The Overlook - 2525 15Th St.,,,Energy Consumer,-1.1409893510922,1e-08,941688000000.0,1e-08,2276.0
Highland Bridge Lofts,,,Energy Consumer,-1.24273511495604,1e-08,1143648000000.0,1e-08,2277.0
Line 28 At Lohi (Whole Building),,,Energy Consumer,-9.71489034955296,1e-08,7061472000000.0,1e-08,2278.0
The Spearly Center,,,Energy Consumer,-2.16726873162444,1e-08,2124936000000.0,1e-08,2279.0
Tallmadge And Boyer Block,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2280.0
Highland Court Residences Ha,,,Energy Consumer,-1.07158367900736,1e-08,799920000000.0,1e-08,2281.0
2828 Zuni - Zn000,,,Energy Consumer,-4.68872954569152,1e-08,3998808000000.0,1e-08,2283.0
Confluence Heights,,,Energy Consumer,-2.3630873675011204,1e-08,1925352000000.0,1e-08,2284.0
Wheeler Block,,,Energy Consumer,-1.80601168036752,1e-08,2025144000000.0,1e-08,2285.0
1441 Central,,,Energy Consumer,-3.5767355491152,1e-08,3016728000000.0,1e-08,2286.0
Hampton Inn & Suites Denver - Speer Blvd.,,,Energy Consumer,-3.1418871036915603,1e-08,2802888000000.0,1e-08,2288.0
Root Building,,,Energy Consumer,-5.30588136475584,1e-08,5351544000000.0,1e-08,2289.0
Commons Park West - Co (Cm48) (Cm26),,,Energy Consumer,-23.512218324035036,1e-08,16661304000000.0,1e-08,2291.0
Highlands Masonic Temple Association,,,Energy Consumer,-0.18315902373228,1e-08,215424000000.0,1e-08,2293.0
The Gardens At St Elizabeth,,,Energy Consumer,-14.24902428626544,1e-08,9004248000000.0,1e-08,2294.0
Alexan Julian (Lx108),,,Energy Consumer,-8.19357613835616,1e-08,7851096000000.0,1e-08,2295.0
Park Church,,,Energy Consumer,-2.10526364154024,1e-08,1176912000000.0,1e-08,2296.0
Fairview Place Residences,,,Energy Consumer,-2.7049360379626797,1e-08,1667952000000.0,1e-08,2298.0
Julian 32,,,Energy Consumer,-7.79057517925188,1e-08,4653792000000.0,1e-08,2299.0
St Dominic Church,,,Energy Consumer,-1.31072732905356,1e-08,617760000000.0,1e-08,2300.0
Veterans Apartments,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2301.0
Lohi Gold,,,Energy Consumer,-4.628571013918441,1e-08,4743288000000.0,1e-08,2307.0
Speer Lofts Home Owners Association,,,Energy Consumer,-1.82977300955736,1e-08,1291752000000.0,1e-08,2313.0
Mark Iii,,,Energy Consumer,-1.7507747719573197,1e-08,1092960000000.0,1e-08,2314.0
Clay Street Residences,,,Energy Consumer,-3.9858339910485596,1e-08,3264624000000.0,1e-08,2315.0
Decatur Point Apartments,,,Energy Consumer,-8.930357757748801,1e-08,7227000000000.0,1e-08,2316.0
2727 Bryant St.,,,Energy Consumer,-1.7942991916352395,1e-08,1260864000000.0,1e-08,2317.0
"Us Motel Downtown, Inc.",,,Energy Consumer,-8.956774978400519,1e-08,7229376000000.0,1e-08,2318.0
"01248- Denver, Co",,,Energy Consumer,-9.00119197511604,1e-08,8666064000000.0,1e-08,2321.0
Landmark Building,,,Energy Consumer,-2.08596561956064,1e-08,1790712000000.0,1e-08,2324.0
Highland 32 - Co (Bs44),,,Energy Consumer,-7.6559528278364395,1e-08,6752592000000.0,1e-08,2326.0
Cottage Hills And Trocadero Apartments,,,Energy Consumer,-12.111953989057561,1e-08,8903664000000.0,1e-08,2331.0
Sprouts Farmers Market,,,Energy Consumer,-6.34685028440688,1e-08,5255712000000.0,1e-08,2339.0
26807-Denver/26Th&Sheridan Blvd Ii,,,Energy Consumer,-0.35869210558776,1e-08,351648000000.0,1e-08,2340.0
Main,,,Energy Consumer,-2.5134048315277204,1e-08,1211760000000.0,1e-08,2342.0
Dayspring Villa,,,Energy Consumer,-3.4896586452804,1e-08,2919312000000.0,1e-08,2343.0
Francis Heights,,,Energy Consumer,-26.723935759690438,1e-08,15987312000000.0,1e-08,2344.0
Colo Christian,,,Energy Consumer,-4.785169012920719,1e-08,4583304000000.0,1e-08,2347.0
Little Sisters Of The Poor,,,Energy Consumer,-14.4558464135112,1e-08,10721304000000.0,1e-08,2348.0
Villas At Sloan'S Lake,,,Energy Consumer,-2.8604981833768797,1e-08,2345904000000.0,1e-08,2349.0
The Elements Ml089,,,Energy Consumer,-6.20112072965688,1e-08,4293432000000.0,1e-08,2351.0
Co - Brandon Courtyard: Co - Brandon Courtyard,,,Energy Consumer,-4.183161672949921,1e-08,4190472000000.0,1e-08,2352.0
Sloan'S Lake Medical Center,,,Energy Consumer,-13.58788952035944,1e-08,15933456000000.0,1e-08,2353.0
1555 Stuart,,,Energy Consumer,-2.73065924304072,1e-08,2222352000000.0,1e-08,2354.0
Denver Metro Village,,,Energy Consumer,-0.0,1e-08,0.0,1e-08,2356.0
,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,2357.0
1525 Raleigh Street,,,Energy Consumer,-3.33048367297512,1e-08,3003264000000.0,1e-08,2359.0
Diamond Hill Building A,,,Energy Consumer,-6.99125176299132,1e-08,6239376000000.0,1e-08,2360.0
Diamond Hill Building B,,,Energy Consumer,-4.596109168723199,1e-08,3716064000000.0,1e-08,2361.0
Diamond Hill Building C-D,,,Energy Consumer,-15.744396895875003,1e-08,11391336000000.0,1e-08,2362.0
Riverside Church,,,Energy Consumer,-8.30402062463088,1e-08,5682600000000.0,1e-08,2364.0
Familystar Montessori School,,,Energy Consumer,-1.13528139479064,1e-08,878328000000.0,1e-08,2365.0
Children'S Museum Of Denver At Marsico Campus,,,Energy Consumer,-4.152265741276199,1e-08,3570336000000.0,1e-08,2366.0
Element 47 By Windsor,,,Energy Consumer,-15.19696146276972,1e-08,12283920000000.0,1e-08,2367.0
Zocalo Condos,,,Energy Consumer,-2.4624862656883204,1e-08,1791504000000.0,1e-08,2371.0
The Urology Center Of Colorado,,,Energy Consumer,-11.64581692026588,1e-08,10743480000000.0,1e-08,2372.0
Frontview 40,,,Energy Consumer,-1.6195055982498001,1e-08,1299672000000.0,1e-08,2373.0
2351 N Federal Blvd,,,Energy Consumer,-2.77805487272616,1e-08,1409760000000.0,1e-08,2375.0
